SEED_id	name	concentration
cpd00438	Deoxyadenosine	1.00000000000000000000
cpd01242	Deoxyribose	0.17878294999999999604
cpd00054	L-Serine	1.00000000000000000000
cpd11851	Levan	0.00001411000000000000
cpd22386	Arabinogalactan	0.00002191000000000000
cpd22387	Arabinoxylan	0.00030665000000000000
cpd15269	Vaccenic acid	0.68144464999999998511
cpd00122	N-Acetyl-D-glucosamine	1.00000000000000000000
cpd00048	Sulfate	1.00000000000000000000
cpd00239	Thioether	1.00000000000000000000
cpd11748	Laminarin	0.00047019000000000000
cpd28101	Rhamnogalacturonans-I	0.00001449000000000000
cpd00232	N-Acetylneuraminic acid	1.00000000000000000000
cpd00128	Adenine	1.00000000000000000000
cpd00129	L-Proline	0.17999999999999999334
cpd00216	Chorismate	1.00000000000000000000
cpd00047	Formic acid	1.00000000000000000000
cpd10516	Fe3+	1.00000000000000000000
cpd10515	Fe2+	1.00000000000000000000
cpd00443	p-Aminobenzoic acid	1.00000000000000000000
cpd11688	Pullulan	0.00001175000000000000
cpd00137	Citric acid	1.00000000000000000000
cpd15311	1,2-Diacyl-sn-glycerol dioctadecanoyl	1.00000000000000000000
cpd00971	Sodium	1.00000000000000000000
cpd01080	Stearic acid	0.16928260000000000529
cpd00136	4-Hydroxybenzoic acid	1.00000000000000000000
cpd00382	Raffinose	0.00470193999999999994
cpd00039	L-Lysine	0.14999999999999999445
cpd00133	Niacinamide	1.00000000000000000000
cpd00132	L-Asparagine	0.22500000000000000555
cpd01727	Pimelic acid	1.00000000000000000000
cpd00035	L-Alanine	1.00000000000000000000
cpd00226	Hypoxanthine	1.00000000000000000000
cpd00030	Manganese	1.00000000000000000000
cpd11752	Xyloglucan	0.00001315000000000000
cpd00222	Gluconic acid	0.14898579000000000683
cpd28193	Starch	0.00001175000000000000
cpd00635	Cob(I)alamin	1.00000000000000000000
cpd03725	Iron(III)dicitrate	1.00000000000000000000
cpd00309	Xanthine	1.00000000000000000000
cpd00307	Cytosine	1.00000000000000000000
cpd00305	Thiamine	1.00000000000000000000
cpd27835	rhamnogalurII	0.00003339000000000000
cpd00557	Siroheme	1.00000000000000000000
cpd01122	Linoleic acid	0.35910921000000001202
cpd03846	octanoate (n-C8:0)	0.01294271999999999957
cpd03847	Myristic acid	0.06867566999999999422
cpd03849	Gamolenic acid	0.01756512000000000004
cpd00138	D-Mannose	0.14898579000000000683
cpd27402	Lichenin	0.00008297999999999999
cpd03198	Melibiose	0.07449289000000000605
cpd00033	Glycine	0.45000000000000001110
cpd00396	Rhamnose	0.14898579000000000683
cpd00029	Acetic acid	1.00000000000000000000
cpd00027	D-Glucose	0.14898579000000000683
cpd00023	L-Glutamic acid	0.17999999999999999334
cpd11606	Menaquinone 7	1.00000000000000000000
cpd00314	Mannitol	0.14898579000000000683
cpd00149	Cobalt	1.00000000000000000000
cpd01017	Cysteinylglycine	1.00000000000000000000
cpd00254	Magnesium	1.00000000000000000000
cpd00264	Spermidine	1.00000000000000000000
cpd03850	Alpha-Linolenic acid	0.01756512000000000004
cpd15500	Menaquinone 8	1.00000000000000000000
cpd15237	Palmitoleic acid	0.03651697000000000276
cpd00794	Trehalose	0.07449289000000000605
cpd00016	'Pyridoxal 5''-phosphate'	1.00000000000000000000
cpd00654	Deoxycytidine	1.00000000000000000000
cpd00656	Galactomannoglycan	0.00001411000000000000
cpd00041	L-Aspartic acid	0.22500000000000000555
cpd00098	Choline	1.00000000000000000000
cpd00099	Chloride ion	1.00000000000000000000
cpd00492	N-Acetylmannosamine	1.00000000000000000000
cpd00156	L-Valine	0.17999999999999999334
cpd00154	D-Xylose	0.17878294999999999604
cpd00092	Uracil	1.00000000000000000000
cpd00158	Cellobiose	0.07449289000000000605
cpd00094	2-Ketobutyric acid	1.00000000000000000000
cpd00042	Glutathione	1.00000000000000000000
cpd29253	1F-beta-D-fructosylsucrose	0.00282117000000000001
cpd27519	Methylesterified-homogalacturonan	0.00012823000000000001
cpd00001	Water	10.00000000000000000000
cpd00644	Pantothenic acid	1.00000000000000000000
cpd00009	Phosphate	1.00000000000000000000
cpd00166	Adenosylcobalamin	1.00000000000000000000
cpd00160	Cholesterol	0.00495795000000000003
cpd00161	L-Threonine	0.22500000000000000555
cpd00276	Glucosamine	1.00000000000000000000
cpd00084	L-Cysteine	1.00000000000000000000
cpd00080	Glycerol 3-phosphate	1.00000000000000000000
cpd00082	D-Fructose	0.14898579000000000683
cpd00508	2-keto-3-methyl-valerate	1.00000000000000000000
cpd00185	Arabinose	1.00000000000000000000
cpd00186	D-Glutamic acid	1.00000000000000000000
cpd00180	Oxalic acid	0.44695737000000002048
cpd00182	Adenosine	1.00000000000000000000
cpd00224	L-Arabinose	0.17878294999999999604
cpd00188	Arachidonate	0.00332812999999999989
cpd12115	alpha-L-Arabinan	0.00016627999999999999
cpd15352	2-Demethylmenaquinone 8	1.00000000000000000000
cpd00277	Deoxyguanosine	1.00000000000000000000
cpd00179	D-Maltose	0.07449289000000000605
cpd00214	Palmitic acid	0.39637090000000002599
cpd11657	Starch	0.25733908999999999256
cpd11658	Dextran	0.00017631999999999999
cpd05565	Inuline	0.00047019000000000000
