Metabolite	Enriched_in_CRC
cpd00438	0
cpd01242	0
cpd00054	1
cpd11851	0
cpd22386	0
cpd22387	0
cpd15269	1
cpd00122	0
cpd00048	0
cpd00239	0
cpd11748	0
cpd28101	0
cpd00232	0
cpd00128	0
cpd00129	1
cpd00216	0
cpd00047	0
cpd10516	0
cpd10515	0
cpd00443	0
cpd11688	0
cpd00137	0
cpd15311	0
cpd00971	0
cpd01080	1
cpd00136	0
cpd00382	0
cpd00039	1
cpd00133	0
cpd00132	1
cpd01727	0
cpd00035	0
cpd00226	1
cpd00030	0
cpd11752	0
cpd00222	0
cpd28193	0
cpd00635	0
cpd03725	0
cpd00309	0
cpd00307	0
cpd00305	0
cpd27835	0
cpd00557	0
cpd01122	0
cpd03846	0
cpd03847	0
cpd03849	0
cpd00138	0
cpd27402	0
cpd03198	0
cpd00033	1
cpd00396	0
cpd00029	0
cpd00027	1
cpd00023	1
cpd11606	0
cpd00314	0
cpd00149	0
cpd01017	0
cpd00254	0
cpd00264	1
cpd03850	0
cpd15500	0
cpd15237	0
cpd00794	0
cpd00016	0
cpd00654	0
cpd00656	0
cpd00041	1
cpd00098	1
cpd00099	0
cpd00492	0
cpd00156	1
cpd00154	0
cpd00092	0
cpd00158	0
cpd00094	0
cpd00042	1
cpd29253	0
cpd27519	0
cpd00007	0
cpd00001	0
cpd00644	0
cpd00009	0
cpd00166	0
cpd00160	1
cpd00161	1
cpd00276	0
cpd00084	0
cpd00080	0
cpd00082	0
cpd00508	0
cpd00185	0
cpd00186	0
cpd00180	0
cpd00182	0
cpd00224	0
cpd00188	0
cpd12115	0
cpd15352	0
cpd00277	0
cpd00179	0
cpd00214	1
cpd11657	0
cpd11658	0
cpd05565	0
cpd00117	0
cpd00263	0
cpd00265	0
cpd00075	0
cpd00076	0
cpd11955	0
cpd00018	0
cpd00751	0
cpd00184	0
cpd01188	0
cpd00419	0
cpd00066	1
cpd00516	0
cpd15560	0
cpd22518	0
cpd00393	0
cpd00108	0
cpd11640	0
cpd00104	0
cpd00105	0
cpd00106	0
cpd00107	0
cpd00100	0
cpd00249	1
cpd00063	0
cpd00215	0
cpd03396	0
cpd00067	0
cpd00065	0
cpd00064	0
cpd00069	1
cpd00218	0
cpd00220	0
cpd01914	0
cpd11574	0
cpd22448	0
cpd00359	0
cpd00119	0
cpd00121	1
cpd00118	1
cpd01741	0
cpd00116	0
cpd11732	0
cpd11735	0
cpd00111	0
cpd00207	0
cpd00355	0
cpd00205	0
cpd00055	0
cpd00053	1
cpd00051	1
cpd00322	1
cpd00209	0
cpd00208	0
cpd00210	1
cpd00159	1
cpd00036	0
cpd00060	1
cpd00121	1
