Id	Name	Enriched/depleted
cpd00156	L-Valine	1
cpd01080	Stearic acid	1
cpd00051	L-Arginine	1
cpd00066	Phenylalanine	1
cpd00264	Spermidine	1
cpd00210	Taurine	1
cpd00161	L-Threonine	1
cpd00042	Glutathione	1
cpd00118	Putrescine	1
cpd00214	Palmitic acid	1
cpd00129	L-Proline	1
cpd00132	L-Asparagine	1
cpd00226	Hypoxanthine	1
cpd00159	Lactic acid	1
cpd00041	L-Aspartic acid	1
cpd00160	Cholesterol	1
cpd00023	L-Glutamic acid	1
cpd00069	L-Tyrosine	1
cpd00098	Choline	1
cpd00249	Uridine	1
cpd00054	L-Serine	1
cpd15269	Vaccenic acid	1
cpd00039	L-Lysine	1
cpd00033	Glycine	1
cpd00060	L-Methionine	1
cpd00322	L-Isoleucine	1
cpd00027	D-glucose	-1
cpd00053	L-Glutamine	-1
cpd00121	Myoinositol	-1
