SEED_id	name	concentration
cpd00438	Deoxyadenosine	0.029977
cpd00531	Mercury	0.040863
cpd01329	Maltohexaose	0.013312
cpd01242	Deoxyribose	0.113946
cpd01914	Methionine sulfoxide	0.035986
cpd00264	Spermidine	0.046082
cpd15269	Vaccenic acid	0.032378
cpd00122	N-Acetyl-D-glucosamine	0.012484
cpd00311	Guanosine	0.016814
cpd00121	Myoinositol	0.025743
cpd00126	Guanosine monophosphate	0.017631
cpd00034	Zinc (II) ion	0.042382
cpd00232	N-Acetylneuraminic acid	0.026759
cpd00129	L-Proline	0.019554
cpd00047	Formic acid	0.037033
cpd00046	Cytidine monophosphate	0.013778
cpd10516	Fe3+	0.048207
cpd11588	Glycylproline	0.0288062
cpd09878	Sulfoacetic acid,<br>Sulfoacetate	0.028487
cpd03422	Cobinamide	0.045515
cpd01133	Stachyose	0.0293402
cpd11582	Alanyl-Threonine	0.0043756
cpd11583	Alanyl-Leucine	0.02035
cpd00609	D-Glucaric acid	0.008116
cpd11581	Glycyl-Asparagine	0.01345
cpd11586	Alanyl-Glutamate	0.031238
cpd11587	Alanyl-Glutamine	0.056106
cpd11584	Alanyl-Histidine	0.037602
cpd11585	Alanylglycine	0.015748
cpd00540	Betaine	0.026905
cpd04098	Arsenite	0.035846
cpd00162	Ethanolamine	0.053067
cpd00423	Cob(II)alamin	0.041768
cpd04097	Lead	0.036388
cpd00421	Triphosphate	0.030704
cpd00137	Citric acid	0.041594
cpd00305	Thiamine	0.048601
cpd00039	L-Lysine	0.07027
cpd00971	Sodium	0.033052
cpd00355	Nicotinamide ribotide	0.0314378
cpd01080	Stearic acid	0.037467
cpd00136	4-Hydroxybenzoic acid	0.04005
cpd00038	Guanosine triphosphate	0.023944
cpd00130	L-Malic acid	0.0160782
cpd00133	Niacinamide	0.031815
cpd00132	L-Asparagine	0.015472
cpd15494	Maltoheptaose	0.034561
cpd00224	L-Arabinose	0.01693
cpd00036	Succinic acid	0.033148
cpd00226	Hypoxanthine	0.018555
