strain	pvalue
Fusobacterium_3	0
Fusobacterium_2	0
Helicobacter_6	0
Atopobium_2	0
Dehalococcoides_0	0
Streptococcus_35	0
Helicobacter_10	0
Campylobacter_7	0
Eubacterium_10	0
Nitrobacter_0	0
Enterococcus_27	0
Streptococcus_1	0
unclassified_Bacteria_0	0
Mycoplasma_10	0
Fusobacterium_18	0
Holdemanella_0	0
Prevotella_4	0
Lactobacillus_77	0
Mycoplasma_2	0
Mycoplasma_5	0
Lactobacillus_60	0
Helicobacter_3	1E-020
Fusobacterium_21	2E-020
Fusobacterium_19	2.776E-017
Lactobacillus_25	1.1158E-016
Rhizobium_0	1.4617E-016
Lactobacillus_1	1.9958E-016
Streptococcus_70	4.0395E-016
Streptobacillus_0	7.7477E-016
Lactobacillus_30	8.1522E-016
Lactobacillus_70	1.006456E-014
Lactobacillus_35	2.262327E-014
Kallipyga_0	4.491137E-014
Streptococcus_27	5.126939E-014
Holdemania_1	4.78091652E-012
Cellulosimicrobium_0	8.32022582E-012
Fusobacterium_13	1.628690123E-011
Lactobacillus_37	1.920970244E-011
Lactobacillus_42	1.0564594647E-010
Fusobacterium_22	1.2492452351E-010
Eubacterium_44	1.3219633103E-010
Lactococcus_4	8.9485261636E-010
Butyricicoccus_1	3.62713468493E-009
Anaerococcus_2	5.75985087532E-009
Lactobacillus_12	1.727412062468E-008
Lactobacillus_3	1.952568517899E-008
Paeniclostridium_0	4.660948655456E-008
Rhodopseudomonas_1	5.048898781424E-008
Lactobacillus_44	5.319074285162E-008
Porphyromonas_2	5.64182831115E-008
Peptostreptococcus_2	6.472753279558E-008
Enterococcus_24	7.031797571212E-008
Escherichia_39	1.0492753729705E-007
Enterococcus_16	1.5212970076396E-007
Actinomyces_6	2.8412909192905E-007
Lactobacillus_74	3.0011787494348E-007
Gardnerella_1	5.4946921995643E-007
Enterococcus_1	6.0210499380843E-007
Lactobacillus_46	0.000001574
Weissella_1	2.57311194460288E-006
Enterococcus_31	3.17630204739338E-006
Eubacterium_5	3.34074243583948E-006
Ureaplasma_1	6.24955931574935E-006
Microbacterium_0	7.86434604190025E-006
Alistipes_4	7.88460118168507E-006
Campylobacter_13	8.56009380278902E-006
Lactobacillus_21	9.36143967691623E-006
Sanguibacter_0	9.65466396991659E-006
Eubacterium_13	1.11235339657148E-005
Fusobacterium_12	1.15296896576914E-005
Ureaplasma_3	1.49459105431019E-005
Clostridium_21	1.95967154488868E-005
Lactobacillus_49	2.53823327420117E-005
Clostridium_24	2.84573753317105E-005
Micrococcus_1	3.43212969794188E-005
Mycoplasma_9	5.28494678648059E-005
Carnobacterium_0	7.96074310298943E-005
Leptotrichia_2	7.96107251127023E-005
Clostridium_42	8.37289084085735E-005
Klebsiella_7	0.000096065
Paenarthrobacter_0	0.0001068798
Pseudogulbenkiania_0	0.0001088327
Clostridium_29	0.0001098818
Bordetella_1	0.0001120984
Solobacterium_0	0.0001187118
Eubacterium_11	0.0001251881
Kribbella_0	0.0001299276
Ruminococcus_8	0.0001499484
Streptococcus_60	0.0001699191
Microbacterium_2	0.0001704331
Hungatella_0	0.0001801507
Bordetella_5	0.0001864917
Peptoniphilus_2	0.0001957866
Solobacterium_1	0.0002674074
Streptococcus_24	0.0003384828
Serratia_1	0.0003483439
Anaerobiospirillum_0	0.0003541066
Streptococcus_49	0.0004058404
Atopobium_3	0.0004081987
Streptococcus_22	0.0004210526
Enterococcus_44	0.0004826376
Clostridium_1	0.0005672732
Streptococcus_4	0.0006011192
Lactobacillus_45	0.0006787565
Streptococcus_63	0.0006876104
Lactobacillus_36	0.0006901408
Fusobacterium_5	0.0007153845
Enterococcus_43	0.0007202812
Pediococcus_0	0.0007316556
Ruminiclostridium_11	0.0007377861
Lactobacillus_63	0.0007674259
Microbacterium_1	0.0007851478
Rhodopseudomonas_3	0.0007986558
Paracoccus_0	0.0008528081
Escherichia_40	0.0008533605
Haemophilus_6	0.0009870353
Bulleidia_0	0.0010146415
Lactobacillus_4	0.0011375565
Fusobacterium_8	0.0012282978
Lactobacillus_71	0.0015022058
Rhodopseudomonas_5	0.0016888822
Symbiobacterium_0	0.0017591363
Actinomyces_4	0.0017686416
Enterococcus_35	0.0018655309
Lactobacillus_51	0.0019974093
Lactobacillus_24	0.0020974679
Kineococcus_0	0.0023865888
Lactobacillus_40	0.0024088891
Streptococcus_41	0.0025839357
Anaerococcus_4	0.0027075056
Escherichia_20	0.0027534533
Escherichia_46	0.0031213525
Clostridium_8	0.0032022105
Lactobacillus_33	0.003385912
Curtobacterium_0	0.0034185094
Escherichia_34	0.0034460153
Pseudomonas_2	0.0037176523
Klebsiella_2	0.0038756712
Enterococcus_9	0.0040681294
Bordetella_3	0.0045385676
Eggerthia_0	0.0046296323
Cutibacterium_5	0.0051912465
Escherichia_3	0.0053829956
Escherichia_26	0.0054335037
Citrobacter_6	0.0054431202
Gemella_1	0.0057525619
Clostridium_17	0.0058186682
Prevotella_24	0.0061503723
Corynebacterium_8	0.0067554703
Methylobacterium_0	0.0068800547
Escherichia_32	0.0074040007
Escherichia_36	0.007422418
Candidatus_Stoquefichus_0	0.0078859922
Cutibacterium_2	0.008086263
Klebsiella_5	0.008371615
Eubacterium_36	0.0092529136
Paraclostridium_0	0.0106576304
Corynebacterium_3	0.0108441297
Clostridium_27	0.0112891202
Pseudoflavonifractor_0	0.0122278321
Lactobacillus_57	0.0126313485
Brevundimonas_0	0.0132867028
Sphingomonas_1	0.0133132644
Bradyrhizobium_0	0.0135912338
Bacteroides_53	0.0142340001
Lactobacillus_17	0.0160148712
Bradyrhizobium_1	0.0167104939
Enterococcus_33	0.0175129678
Ruminococcus_6	0.0176975858
Enterococcus_32	0.0182427376
