strain	wd_obj_flux
Subdoligranulum_0	0.98646669837058365005
Leeuwenhoekiella_0	0.45764380093175038855
Caminibacter_0	0.10269197749628929117
Oribacterium_1	0.76314060274289219343
Oribacterium_0	0.00008107537088761555
Oribacterium_2	1.50137335916997471941
Ruminiclostridium_2	0.42423861875943313926
Morganella_0	0.73542062235166461015
Leifsonia_0	0.00018454226902591295
Neisseria_3	0.26387712424800841005
Neisseria_2	0.37073061912197158296
Neisseria_1	0.32568114039425022366
Neisseria_0	0.28748739978596021816
Neisseria_7	0.37081258707176528722
Neisseria_6	0.16135959051204759596
Neisseria_5	0.32568114039424278516
Neisseria_4	0.37079874212056224136
Neisseria_9	0.37072060175143561889
Neisseria_8	0.30752010558835979337
Bordetella_5	0.48317174310252869462
Bordetella_4	0.00129179530911362845
Bordetella_3	0.48317174310207333665
Bordetella_2	0.34681565246071849318
Bordetella_1	0.48317174311694333078
Bordetella_0	0.48317174310257504644
Psychrobacter_1	0.48317174310250637914
Psychrobacter_0	0.68486829375253610586
Psychrobacter_2	0.48317174307502724906
Staphylococcus_1	0.42100227182853067198
Brachybacterium_0	0.87539556973961429875
Staphylococcus_3	0.00006297502131928927
Staphylococcus_2	0.00006297499268157478
Staphylococcus_5	0.51708437371595028509
Staphylococcus_4	0.00006297499268157477
Staphylococcus_7	0.00006297497836271757
Staphylococcus_6	0.50020682445261166471
Staphylococcus_9	0.48241072815832553022
Staphylococcus_8	0.24120536403844264339
Dechloromonas_0	0.68486829374321678277
Comamonas_0	0.48317174310290461614
Comamonas_1	0.48317174310325261555
Staphylococcus_28	0.00006297499268157480
Staphylococcus_29	0.47859062511764061121
Staphylococcus_20	0.48241072806868690037
Staphylococcus_21	0.00006297499248597829
Staphylococcus_22	0.00006297499877938943
Staphylococcus_23	0.59085529975541595249
Staphylococcus_24	0.00006297499652165978
Staphylococcus_25	0.00006297497836271757
Staphylococcus_26	0.00006297497836271757
Staphylococcus_27	0.39872143880903265778
Lactobacillus_18	0.28745544440595072189
Lactobacillus_19	0.13249236751434093073
Lactobacillus_14	0.26146368958056021015
Lactobacillus_15	0.00007750768296106792
Lactobacillus_16	0.00007750769192019540
Lactobacillus_17	0.43731778424272121919
Lactobacillus_10	0.00016793334197411652
Scardovia_0	0.58494735473791104052
Lactobacillus_12	0.43731778425662909404
Lactobacillus_13	0.28863514926724448406
Fusobacterium_7	0.16668696219764700395
Fusobacterium_6	0.00007176638158518899
Fusobacterium_5	0.43731778425642936492
Fusobacterium_4	0.04292343565600659910
Fusobacterium_3	0.38319004689815999720
Fusobacterium_2	0.33688714751070347742
Fusobacterium_1	0.52034550941779034172
Fusobacterium_0	0.27087331903663725008
Fusobacterium_9	0.00652494218395793975
Fusobacterium_8	0.26691056029959941975
unclassified_Melainabacteria_0	0.60802594244089880338
Paeniclostridium_0	0.46339202965702402937
Tannerella_1	0.00043059814768451758
Tannerella_0	0.40600193897334574400
Trueperella_0	0.29192633368756670809
Phascolarctobacterium_0	0.09805262446981692637
Porphyromonas_2	0.45873804222829628330
Yersinia_14	0.45764380094045981062
Yersinia_13	0.45763643996640729350
Yersinia_12	0.45764380093346346268
Yersinia_11	0.45764380093615630862
Yersinia_10	0.45764380093185613729
Oligotropha_0	0.45764380093182527309
Pedobacter_0	1.23154574077679912492
Porphyromonas_4	0.41537160246098581151
Helicobacter_8	0.07768219405892809459
Helicobacter_9	0.10403040172004258956
Helicobacter_2	0.34912217661174055339
Helicobacter_3	0.45873965924446763465
Helicobacter_0	0.04419296542052113946
Helicobacter_1	0.00016147433959238543
Helicobacter_6	0.45873965924560988761
Helicobacter_7	0.00007598792480431343
Helicobacter_4	0.00016147434020916601
Helicobacter_5	0.00016147434066662107
Aliivibrio_0	0.45764380093350587320
Microbacterium_2	0.41499682978366175812
Microbacterium_1	0.38184383092490520317
Microbacterium_0	0.44093152944526636805
Lachnospira_0	0.46176378178981380973
Butyricicoccus_0	0.69351246716129955061
Paracoccus_0	0.79849066635823884308
Barnesiella_0	0.26382092047381894284
Heliobacterium_0	0.00019795257012461995
Bacillus_18	0.93868537103734350779
Bacillus_19	0.63565309899581323716
